ProductKey,ProductItemCode,Product Name,Sub Category,Product Category,Product Color,Product Size,ProductLine,Product Model Name,Product Description,Product Status,StandardCost,ListPrice,DealerPrice,ProductCategoryKey
83,LE-1200,External Lock Washer 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
84,LE-1201,External Lock Washer 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
85,LE-1400,External Lock Washer 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
86,LE-3800,External Lock Washer 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
87,LE-5160,External Lock Washer 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
88,LE-6000,External Lock Washer 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
89,LE-7160,External Lock Washer 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
90,LE-8000,External Lock Washer 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
91,LI-1000,Internal Lock Washer 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
92,LI-1200,Internal Lock Washer 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
93,LI-1201,Internal Lock Washer 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
94,LI-1400,Internal Lock Washer 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
95,LI-3800,Internal Lock Washer 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
96,LI-5160,Internal Lock Washer 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
97,LI-5800,Internal Lock Washer 10,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
98,LI-6000,Internal Lock Washer 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
99,LI-7160,Internal Lock Washer 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
100,LI-8000,Internal Lock Washer 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
101,LJ-1213,Thin-Jam Lock Nut 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
102,LJ-1220,Thin-Jam Lock Nut 10,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
103,LJ-1420,Thin-Jam Lock Nut 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
104,LJ-1428,Thin-Jam Lock Nut 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
105,LJ-3410,Thin-Jam Lock Nut 15,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
106,LJ-3416,Thin-Jam Lock Nut 16,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
107,LJ-3816,Thin-Jam Lock Nut 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
108,LJ-3824,Thin-Jam Lock Nut 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
109,LJ-5161,Thin-Jam Lock Nut 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
110,LJ-5162,Thin-Jam Lock Nut 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
111,LJ-5811,Thin-Jam Lock Nut 13,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
112,LJ-5818,Thin-Jam Lock Nut 14,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
113,LJ-7161,Thin-Jam Lock Nut 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
114,LJ-7162,Thin-Jam Lock Nut 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
115,LJ-9080,Thin-Jam Lock Nut 12,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
116,LJ-9161,Thin-Jam Lock Nut 11,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
117,LN-1024,Lock Nut 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
118,LN-1032,Lock Nut 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
119,LN-1213,Lock Nut 16,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
120,LN-1220,Lock Nut 17,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
121,LN-1224,Lock Nut 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
122,LN-1420,Lock Nut 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
123,LN-1428,Lock Nut 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
124,LN-3410,Lock Nut 22,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
125,LN-3416,Lock Nut 23,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
126,LN-3816,Lock Nut 12,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
127,LN-3824,Lock Nut 13,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
128,LN-4400,Lock Nut 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
129,LN-5161,Lock Nut 10,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
130,LN-5162,Lock Nut 11,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
131,LN-5400,Lock Nut 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
132,LN-5811,Lock Nut 20,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
133,LN-5818,Lock Nut 21,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
134,LN-6320,Lock Nut 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
135,LN-7161,Lock Nut 14,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
136,LN-7162,Lock Nut 15,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
137,LN-8320,Lock Nut 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
138,LN-9080,Lock Nut 19,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
139,LN-9161,Lock Nut 18,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
140,LR-2398,Lock Ring,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
141,LR-8520,Lower Head Race,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
142,LW-1000,Lock Washer 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
143,LW-1200,Lock Washer 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
144,LW-1201,Lock Washer 10,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
145,LW-1400,Lock Washer 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
146,LW-3400,Lock Washer 13,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
147,LW-3800,Lock Washer 8,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
148,LW-4000,Lock Washer 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
149,LW-5160,Lock Washer 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
150,LW-5800,Lock Washer 12,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
151,LW-6000,Lock Washer 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
152,LW-7160,Lock Washer 9,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
153,LW-8000,Lock Washer 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
154,LW-9160,Lock Washer 11,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
155,MA-7075,Metal Angle,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
156,MB-2024,Metal Bar 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
157,MB-6061,Metal Bar 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
158,MP-2066,Metal Plate 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
159,MP-2503,Metal Plate 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
160,MP-4960,Metal Plate 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
161,MS-0253,Metal Sheet 2,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
162,MS-1256,Metal Sheet 3,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
163,MS-1981,Metal Sheet 7,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
164,MS-2259,Metal Sheet 4,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
165,MS-2341,Metal Sheet 5,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
166,MS-2348,Metal Sheet 6,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
167,MS-6061,Metal Sheet 1,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
168,MT-1000,Metal Tread Plate,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
169,NI-4127,LL Nipple,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
170,NI-9522,HL Nipple,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
171,PA-187B,Paint - Black,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
172,PA-361R,Paint - Red,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
173,PA-529S,Paint - Silver,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
174,PA-632U,Paint - Blue,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
175,PA-823Y,Paint - Yellow,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
176,PB-6109,Pinch Bolt,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
177,RA-2345,Cup-Shaped Race,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
178,RA-7490,Cone-Shaped Race,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
179,RF-9198,Reflector,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
180,RM-M464,LL Mountain Rim,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
181,RM-M692,ML Mountain Rim,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
182,RM-M823,HL Mountain Rim,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
183,RM-R436,LL Road Rim,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
184,RM-R600,ML Road Rim,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
185,RM-R800,HL Road Rim,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
186,RM-T801,Touring Rim,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
187,SA-M198,LL Mountain Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
188,SA-M237,ML Mountain Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
189,SA-M687,HL Mountain Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
190,SA-R127,LL Road Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
191,SA-R430,ML Road Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
192,SA-R522,HL Road Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
193,SA-T467,LL Touring Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
194,SA-T612,ML Touring Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
195,SA-T872,HL Touring Seat Assembly,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
196,SD-2342,LL Spindle/Axle,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
197,SD-9872,HL Spindle/Axle,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
198,SH-4562,LL Shell,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
199,SH-9312,HL Shell,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
200,SK-9283,Spokes,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
201,SL-0931,Seat Lug,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
202,SM-9087,Stem,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
203,SP-2981,Seat Post,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
204,SR-2098,Steerer,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
205,SS-2985,Seat Stays,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
206,ST-9828,Seat Tube,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
207,TO-2301,Top Tube,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
208,TP-0923,Tension Pulley,NULL,NULL,NA,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
209,RC-0291,Rear Derailleur Cage,NULL,NULL,Silver,NULL,NULL,NULL,NULL,Current,NULL,NULL,NULL,NULL
210,FR-R92B-58,"HL Road Frame - Black, 58",Road Frames,Components,Black,58,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current,NULL,NULL,NULL,2
211,FR-R92R-58,"HL Road Frame - Red, 58",Road Frames,Components,Red,58,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current,NULL,NULL,NULL,2
212,HL-U509-R,"Sport-100 Helmet, Red",Helmets,Accessories,Red,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate,12.0278,33.6442,20.1865,4
